Date,Token0,Token1,FeeTier,TVLUSD,VolumeUSD,FeesUSD,APR
2021-12-29,WETH,WBTC,500,8294.099338456063242124133337046961,112.514505707913900115692724842173,0.0562572528539569500578463624210865,=G2*365/E2
2021-12-29,WETH,WBTC,10000,6304.7189437824361045665599833099,37.55916903968741205951354742070454,0.3755916903968741205951354742070454,=G2*365/E2
2021-12-29,WETH,rETH,500,7310.669311295628975854180448666529,36.94309675920779837590562233332149,0.01847154837960389918795281116666075,=G2*365/E2
2021-12-29,WETH,sUSD,10000,2425.04789929736035137989128625218,29.10062195892800795363730641339641,0.2910062195892800795363730641339641,=G2*365/E2
2021-12-29,WETH,BitANT,10000,92.57407245920847577911048808971994,14.77552851010517925534615912160641,0.1477552851010517925534615912160641,=G2*365/E2
2021-12-29,WETH,sUSD,500,819.5303183673386129793955376233522,12.50656224006508752004060439512542,0.006253281120032543760020302197562713,=G2*365/E2
2021-12-29,WETH,SNX,10000,346.7955498688517147070793411110196,9.652153301154108170446687924818895,0.09652153301154108170446687924818895,=G2*365/E2
2021-12-29,sUSD,DAI,10000,1113.299644820959325047535666948841,9.069101886881876245,0.09069101886881876245,=G2*365/E2
2021-12-29,USDT,DAI,3000,23235.1051690858896663297607928696,2.695344173187971827,0.008086032519563915481,=G2*365/E2
2021-12-29,SNX,DAI,500,50.61389161325838220400000000000002,2.292101942132174552,0.001146050971066087276,=G2*365/E2
2021-12-29,PAPER,WETH,10000,327.6797945033511461232609162915223,0.4028287941695254603146122461586884,0.004028287941695254603146122461586884,=G2*365/E2
2021-12-29,WBTC,DAI,500,8.479449239222803528131844437110512,0.3808932663331526949999999999999999,0.0001904466331665763475,=G2*365/E2
2021-12-29,DCN,WETH,500,5226.766112925741083381948169240887,0.2254132191191735603653877024902999,0.00011270660955958678018269385124515,=G2*365/E2
2021-12-29,USDC,USDT,500,691869.016862181121176776690620484,0,0,=G2*365/E2
2021-12-29,UNI,USDT,3000,2731.48102009399566427471073247633,0,0,=G2*365/E2
2021-12-29,WBTC,sUSD,10000,9.518846481256161304107802882378341,0,0,=G2*365/E2
2021-12-29,vBTC,vUSD,3000,0,0,0,=G2*365/E2
2021-12-29,SNX,sUSD,3000,48.32794860412116940740710056986415,0,0,=G2*365/E2
2021-12-29,LINK,USDC,3000,271.1901488814970885893165266196945,0,0,=G2*365/E2
2021-12-29,SNX,USDT,10000,1952.975674383758533280564384485561,0,0,=G2*365/E2
2021-12-29,USDC,sUSD,10000,765.0236872069554105766799785263324,0,0,=G2*365/E2
2021-12-29,sUSD,USDT,3000,24.03767489501955407473607390138979,0,0,=G2*365/E2
2021-12-29,LYRA,USDC,10000,11961.54999057667747520174401877042,0,0,=G2*365/E2
2021-12-29,USDC,sUSD,500,24421.55186538675581921116399052944,0,0,=G2*365/E2
2021-12-29,WBTC,UNI,3000,2785.618912960207080858301010209587,0,0,=G2*365/E2
2021-12-29,WBTC,sUSD,3000,13933.40301847290982642883488386998,0,0,=G2*365/E2
2021-12-29,WBTC,USDC,3000,56959.4565714285138568824978518348,0,0,=G2*365/E2
2021-12-29,USDC,RAI,500,0.000001005476443582486704356174912295053,0,0,=G2*365/E2
2021-12-29,SNX,USDT,3000,43.38461954549293878437557856645142,0,0,=G2*365/E2
2021-12-29,vETH,vUSD,3000,0,0,0,=G2*365/E2
2021-12-29,SNX,sUSD,10000,1097.012670370921080301678956904791,0,0,=G2*365/E2
2021-12-29,UNI,USDC,3000,9454.842538811018654255746867343164,0,0,=G2*365/E2
2021-12-29,WBTC,USDT,3000,1165.671473965812487909199433387384,0,0,=G2*365/E2
