Date,Token0,Token1,FeeTier,TVLUSD,VolumeUSD,FeesUSD,APR
2022-01-18,FRAX,USDC,500,241972736.1581798352164595813852586,15849737.031147,7924.8685155735,=I2*365/G2
2022-01-18,FEI,USDC,500,32701093.241523361171658776,15107711.97894007129984538799630948,7553.855989470035649922693998154743,=I2*365/G2
2022-01-18,METIS,ETH,3000,12932238.330910129309273850555892,13257681.72660911842247975251268404,39773.04517982735526743925753805232,=I2*365/G2
2022-01-18,MIM,USDC,500,7225398.919050391591874593964697132,11357520.86341,5678.760431705,=I2*365/G2
2022-01-18,ETH,LOOKS,10000,13417630.69819790338520369381786765,9993284.31877075328861652127010297,99932.8431877075328861652127010297,=I2*365/G2
2022-01-18,STRONG,ETH,3000,5297511.967758348883844012352758795,8595918.28225013044343630233641702,25787.75484675039133030890700925102,=I2*365/G2
2022-01-18,FTM,ETH,10000,36451558.07895292903202119024637775,8061983.539389977981660501931920586,80619.83539389977981660501931920586,=I2*365/G2
2022-01-18,USDC,UST,500,7912668.930255614830532977482988465,7818202.861219,3909.1014306095,=I2*365/G2
2022-01-18,MATIC,ETH,3000,40420289.40250971276104365164450184,6824423.498967194903623728645961229,20473.2704969015847108711859378837,=I2*365/G2
2022-01-18,UST,USDT,500,3541968.578780343210703474767828288,6642548.026443878591865097040092648,3321.274013221939295932548520046324,=I2*365/G2
2022-01-18,EURT,USDT,500,7701326.7145891894357499905102513,6523026.127608,3261.513063804,=I2*365/G2
2022-01-18,ETH2X-FLI,ETH,3000,27870031.30559151899261810486945438,6467563.087119441260540051159831473,19402.68926135832378162015347949442,=I2*365/G2
2022-01-18,USDC,USDT,500,15781807.089293,6467524.602286452427942952032609084,3233.762301143226213971476016304542,=I2*365/G2
2022-01-18,YFI,ETH,3000,10603544.55652815083328863804316593,6148633.753047460493775073920836004,18445.90125914238148132522176250798,=I2*365/G2
2022-01-18,CVX,USDT,10000,32385660.83643808073134461968180099,5755433.99578302500816056859038943,57554.3399578302500816056859038943,=I2*365/G2
2022-01-18,SPELL,ETH,3000,7282356.316207832973268455634176852,5547922.170141201135311476294384829,16643.76651042360340593442888315449,=I2*365/G2
2022-01-18,DAI,FEI,500,16958464.22717090234139014300000001,5421045.417166464547796246373465777,2710.522708583232273898123186732889,=I2*365/G2
2022-01-18,UNI,ETH,3000,35404512.67917442971234587068478501,5351880.145782185244685810123804,16055.640437346555734057430371412,=I2*365/G2
2022-01-18,ETH,LOOKS,500,219986.8223820262821476185425676285,5050050.735288071452149461006471702,2525.025367644035726074730503235853,=I2*365/G2
2022-01-18,DAI,FRAX,500,65921263.67907331411778236833273661,4838963.631098533397851616745488154,2419.481815549266698925808372744078,=I2*365/G2
2022-01-18,ETH,CRV,10000,15514999.51255302385527111035737925,4725724.521565541079682367440211904,47257.24521565541079682367440211904,=I2*365/G2
2022-01-18,FRAX,USDT,500,8686238.768524303902330656214586324,4468364.339124471432473012489147902,2234.182169562235716236506244573951,=I2*365/G2
2022-01-18,GOHM,ETH,10000,2833272.921612810203709324481546267,4371602.373845073333864435096847361,43716.02373845073333864435096847361,=I2*365/G2
2022-01-18,WOOL,ETH,10000,3637693.822950347587982111806549047,4130166.734103639588845826742061633,41301.66734103639588845826742061633,=I2*365/G2
2022-01-18,LINK,ETH,3000,20527582.76713186660191650640425226,3712255.248972349332417276585095706,11136.76574691704799725182975528713,=I2*365/G2
2022-01-18,LUSD,DAI,500,1818059.525598486480295978716777091,3502125.617447211778518495658360925,1751.062808723605889259247829180463,=I2*365/G2
2022-01-18,ETH,ENS,3000,8620820.515630057703095065284782834,3380484.215979664191565964484322135,10141.45264793899257469789345296639,=I2*365/G2
2022-01-18,ETH,WRLD,10000,2643657.80782020213450376693081917,3082971.669029050921676786386294501,30829.71669029050921676786386294501,=I2*365/G2
2022-01-18,XFT,ETH,3000,4527195.860961027422766080364402967,3072246.206754774457129005520255255,9216.738620264323371387016560765761,=I2*365/G2
